target	family	off_targets	target_self_corr	pred_off_corr_mean	pred_off_corr_max	exp_off_corr_mean	exp_off_corr_max	predicted_separability	exp_oracle_margin	tfscope_transfer_margin	case
FOXA1	Forkhead	FOXQ1;FOXO4;FOXA3;FOXO3;FOXN3;FOXK2;FOXP2;FOXC1	0.953	0.974	0.982	0.957	0.992	0.858	1.337	-0.188	hard
FOXK1	Forkhead	FOXJ2;FOXJ3;FOXQ1;FOXF2;FOXF1;FOXP2;FOXG1;FOXJ1	0.895	0.939	0.968	0.948	0.979	2.009	0.786	-0.962	hard
FOXJ1	Forkhead	FOXQ1;FOXP2;FOXC2;FOXF2;FOXF1;FOXM1;FOXG1;FOXD3	0.963	0.955	0.995	0.952	0.997	0.635	2.758	-2.093	hard
FOXF1	Forkhead	FOXQ1;FOXF2;FOXG1;FOXK2;FOXO4;FOXP2;FOXO3;FOXN3	0.971	0.988	0.996	0.963	0.993	0.342	0.449	-0.418	hard
FOXR1	Forkhead	FOXA1;FOXI1;FOXA3;FOXO6;FOXF1;FOXQ1;FOXJ3;FOXK1	0.787	0.923	0.946	0.79	0.952	0.754	2.833	-0.922	moderate
FOXI1	Forkhead	FOXP2;FOXR1;FOXO6;FOXC1;FOXL2;FOXC2;FOXO1;FOXG1	0.875	0.938	0.986	0.835	0.944	0.725	2.535	-1.35	hard
FOXO6	Forkhead	FOXA1;FOXA3;FOXO3;FOXN3;FOXG1;FOXP2;FOXH1;FOXK2	0.947	0.946	0.956	0.933	0.998	2.398	0.757	-1.026	hard
FOXB1	Forkhead	FOXJ1;FOXQ1;FOXM1;FOXD2;FOXD1;FOXD3;Foxd3;FOXR2	0.799	0.838	0.872	0.671	0.8	2.91	1.373	-1.024	moderate
FOXD2	Forkhead	FOXD1;FOXD3;Foxd3;FOXP2;FOXA1;FOXM1;FOXJ1;FOXF2	0.772	0.958	1.0	0.747	0.825	0.0	3.824	-1.921	hard
FOXL1	Forkhead	FOXO4;FOXP2;FOXO3;FOXC1;FOXN3;FOXK2;FOXA2;FOXQ1	0.902	0.983	0.992	0.894	0.966	0.637	0.535	-1.873	hard
